# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.171874E+04   -0.622478E-03    0.128245E-03   -0.311255E-03    0.641426E-04    0.111738E+00    0.252564E-07    0.128405E-03
    0.171967E+04   -0.621797E-03    0.127598E-03   -0.310957E-03    0.638187E-04    0.111234E+00    0.251997E-07    0.127757E-03
    0.172060E+04   -0.621057E-03    0.126956E-03   -0.310600E-03    0.634976E-04    0.110734E+00    0.251339E-07    0.127114E-03
    0.172154E+04   -0.620292E-03    0.126441E-03   -0.310183E-03    0.632403E-04    0.110345E+00    0.250609E-07    0.126598E-03
    0.172248E+04   -0.619529E-03    0.125928E-03   -0.309825E-03    0.629833E-04    0.109957E+00    0.249973E-07    0.126084E-03
    0.172342E+04   -0.618740E-03    0.125462E-03   -0.309408E-03    0.627505E-04    0.109611E+00    0.249254E-07    0.125618E-03
    0.172437E+04   -0.617955E-03    0.125073E-03   -0.309050E-03    0.625560E-04    0.109331E+00    0.248640E-07    0.125228E-03
    0.172532E+04   -0.617172E-03    0.124685E-03   -0.308633E-03    0.623616E-04    0.109051E+00    0.247935E-07    0.124839E-03
    0.172627E+04   -0.616389E-03    0.124373E-03   -0.308216E-03    0.622056E-04    0.108838E+00    0.247242E-07    0.124526E-03
    0.172722E+04   -0.615632E-03    0.124087E-03   -0.307858E-03    0.620627E-04    0.108648E+00    0.246647E-07    0.124240E-03
    0.172818E+04   -0.614880E-03    0.123808E-03   -0.307500E-03    0.619233E-04    0.108464E+00    0.246053E-07    0.123961E-03
    0.172914E+04   -0.614145E-03    0.123595E-03   -0.307143E-03    0.618166E-04    0.108337E+00    0.245470E-07    0.123747E-03
    0.173010E+04   -0.613439E-03    0.123382E-03   -0.306785E-03    0.617100E-04    0.108211E+00    0.244888E-07    0.123534E-03
    0.173107E+04   -0.612747E-03    0.123188E-03   -0.306427E-03    0.616128E-04    0.108101E+00    0.244310E-07    0.123339E-03
    0.173203E+04   -0.612079E-03    0.123018E-03   -0.306070E-03    0.615277E-04    0.108011E+00    0.243736E-07    0.123168E-03
    0.173300E+04   -0.611434E-03    0.122849E-03   -0.305772E-03    0.614432E-04    0.107924E+00    0.243254E-07    0.122999E-03
    0.173398E+04   -0.610809E-03    0.122692E-03   -0.305474E-03    0.613648E-04    0.107846E+00    0.242774E-07    0.122842E-03
    0.173495E+04   -0.610206E-03    0.122538E-03   -0.305176E-03    0.612876E-04    0.107771E+00    0.242295E-07    0.122687E-03
    0.173593E+04   -0.609623E-03    0.122382E-03   -0.304878E-03    0.612098E-04    0.107695E+00    0.241816E-07    0.122532E-03
    0.173691E+04   -0.609056E-03    0.122223E-03   -0.304580E-03    0.611300E-04    0.107616E+00    0.241338E-07    0.122372E-03
    0.173789E+04   -0.608506E-03    0.122063E-03   -0.304282E-03    0.610500E-04    0.107536E+00    0.240859E-07    0.122212E-03
    0.173888E+04   -0.607972E-03    0.121892E-03   -0.304043E-03    0.609647E-04    0.107446E+00    0.240471E-07    0.122041E-03
    0.173987E+04   -0.607447E-03    0.121712E-03   -0.303745E-03    0.608743E-04    0.107348E+00    0.239990E-07    0.121860E-03
    0.174086E+04   -0.606937E-03    0.121530E-03   -0.303507E-03    0.607837E-04    0.107249E+00    0.239600E-07    0.121678E-03
    0.174186E+04   -0.606434E-03    0.121322E-03   -0.303268E-03    0.606793E-04    0.107126E+00    0.239207E-07    0.121469E-03
    0.174285E+04   -0.605933E-03    0.121109E-03   -0.303030E-03    0.605730E-04    0.107000E+00    0.238813E-07    0.121256E-03
    0.174385E+04   -0.605440E-03    0.120888E-03   -0.302792E-03    0.604624E-04    0.106866E+00    0.238418E-07    0.121035E-03
    0.174486E+04   -0.604946E-03    0.120637E-03   -0.302494E-03    0.603367E-04    0.106705E+00    0.237929E-07    0.120783E-03
    0.174586E+04   -0.604448E-03    0.120386E-03   -0.302255E-03    0.602110E-04    0.106544E+00    0.237531E-07    0.120531E-03
    0.174687E+04   -0.603947E-03    0.120113E-03   -0.302017E-03    0.600745E-04    0.106364E+00    0.237129E-07    0.120258E-03
    0.174788E+04   -0.603434E-03    0.119824E-03   -0.301778E-03    0.599303E-04    0.106170E+00    0.236726E-07    0.119969E-03
    0.174889E+04   -0.602913E-03    0.119537E-03   -0.301480E-03    0.597863E-04    0.105976E+00    0.236233E-07    0.119681E-03
    0.174991E+04   -0.602380E-03    0.119220E-03   -0.301242E-03    0.596282E-04    0.105757E+00    0.235827E-07    0.119364E-03
    0.175093E+04   -0.601824E-03    0.118902E-03   -0.300944E-03    0.594691E-04    0.105537E+00    0.235330E-07    0.119046E-03
    0.175195E+04   -0.601250E-03    0.118582E-03   -0.300646E-03    0.593089E-04    0.105314E+00    0.234834E-07    0.118725E-03
    0.175298E+04   -0.600656E-03    0.118257E-03   -0.300348E-03    0.591460E-04    0.105086E+00    0.234338E-07    0.118399E-03
    0.175400E+04   -0.600034E-03    0.117931E-03   -0.300050E-03    0.589833E-04    0.104858E+00    0.233842E-07    0.118073E-03
    0.175503E+04   -0.599390E-03    0.117622E-03   -0.299752E-03    0.588286E-04    0.104645E+00    0.233350E-07    0.117763E-03
    0.175607E+04   -0.598727E-03    0.117322E-03   -0.299394E-03    0.586786E-04    0.104439E+00    0.232770E-07    0.117463E-03
    0.175710E+04   -0.598032E-03    0.117022E-03   -0.299037E-03    0.585286E-04    0.104234E+00    0.232190E-07    0.117162E-03
    0.175814E+04   -0.597320E-03    0.116784E-03   -0.298679E-03    0.584094E-04    0.104083E+00    0.231621E-07    0.116924E-03
    0.175918E+04   -0.596602E-03    0.116546E-03   -0.298321E-03    0.582905E-04    0.103932E+00    0.231052E-07    0.116685E-03
    0.176022E+04   -0.595863E-03    0.116340E-03   -0.297964E-03    0.581872E-04    0.103810E+00    0.230489E-07    0.116478E-03
    0.176127E+04   -0.595126E-03    0.116192E-03   -0.297606E-03    0.581135E-04    0.103740E+00    0.229935E-07    0.116331E-03
    0.176232E+04   -0.594390E-03    0.116044E-03   -0.297248E-03    0.580395E-04    0.103670E+00    0.229381E-07    0.116183E-03
    0.176337E+04   -0.593657E-03    0.115966E-03   -0.296891E-03    0.580004E-04    0.103662E+00    0.228838E-07    0.116104E-03
    0.176443E+04   -0.592953E-03    0.115917E-03   -0.296533E-03    0.579758E-04    0.103680E+00    0.228300E-07    0.116055E-03
    0.176548E+04   -0.592260E-03    0.115871E-03   -0.296175E-03    0.579529E-04    0.103701E+00    0.227764E-07    0.116009E-03
    0.176654E+04   -0.591595E-03    0.115904E-03   -0.295818E-03    0.579690E-04    0.103792E+00    0.227239E-07    0.116041E-03
    0.176760E+04   -0.590979E-03    0.115934E-03   -0.295520E-03    0.579842E-04    0.103881E+00    0.226802E-07    0.116071E-03
    0.176867E+04   -0.590396E-03    0.115980E-03   -0.295222E-03    0.580070E-04    0.103985E+00    0.226369E-07    0.116117E-03
    0.176974E+04   -0.589857E-03    0.116048E-03   -0.294983E-03    0.580411E-04    0.104109E+00    0.226027E-07    0.116185E-03
    0.177081E+04   -0.589369E-03    0.116115E-03   -0.294745E-03    0.580745E-04    0.104232E+00    0.225685E-07    0.116252E-03
    0.177188E+04   -0.588926E-03    0.116166E-03   -0.294507E-03    0.581002E-04    0.104341E+00    0.225341E-07    0.116303E-03
    0.177296E+04   -0.588526E-03    0.116212E-03   -0.294328E-03    0.581231E-04    0.104446E+00    0.225084E-07    0.116349E-03
    0.177404E+04   -0.588181E-03    0.116246E-03   -0.294149E-03    0.581400E-04    0.104540E+00    0.224826E-07    0.116383E-03
    0.177512E+04   -0.587869E-03    0.116208E-03   -0.293970E-03    0.581210E-04    0.104569E+00    0.224557E-07    0.116345E-03
    0.177620E+04   -0.587583E-03    0.116169E-03   -0.293851E-03    0.581015E-04    0.104598E+00    0.224376E-07    0.116305E-03
    0.177729E+04   -0.587334E-03    0.116070E-03   -0.293732E-03    0.580523E-04    0.104573E+00    0.224187E-07    0.116207E-03
    0.177838E+04   -0.587089E-03    0.115906E-03   -0.293612E-03    0.579702E-04    0.104490E+00    0.223988E-07    0.116043E-03
    0.177947E+04   -0.586864E-03    0.115742E-03   -0.293493E-03    0.578880E-04    0.104405E+00    0.223789E-07    0.115878E-03
    0.178057E+04   -0.586643E-03    0.115462E-03   -0.293374E-03    0.577477E-04    0.104217E+00    0.223573E-07    0.115597E-03
    0.178167E+04   -0.586390E-03    0.115157E-03   -0.293255E-03    0.575954E-04    0.104006E+00    0.223355E-07    0.115292E-03
    0.178277E+04   -0.586137E-03    0.114831E-03   -0.293136E-03    0.574321E-04    0.103775E+00    0.223133E-07    0.114965E-03
    0.178387E+04   -0.585855E-03    0.114405E-03   -0.292957E-03    0.572192E-04    0.103454E+00    0.222810E-07    0.114539E-03
    0.178498E+04   -0.585526E-03    0.113980E-03   -0.292778E-03    0.570067E-04    0.103134E+00    0.222487E-07    0.114114E-03
    0.178609E+04   -0.585166E-03    0.113515E-03   -0.292599E-03    0.567743E-04    0.102777E+00    0.222159E-07    0.113648E-03
    0.178720E+04   -0.584757E-03    0.113017E-03   -0.292420E-03    0.565250E-04    0.102390E+00    0.221827E-07    0.113149E-03
    0.178831E+04   -0.584299E-03    0.112520E-03   -0.292182E-03    0.562763E-04    0.102003E+00    0.221408E-07    0.112651E-03
    0.178943E+04   -0.583797E-03    0.112012E-03   -0.291944E-03    0.560222E-04    0.101606E+00    0.220988E-07    0.112143E-03
    0.179055E+04   -0.583246E-03    0.111504E-03   -0.291646E-03    0.557681E-04    0.101208E+00    0.220482E-07    0.111634E-03
    0.179167E+04   -0.582645E-03    0.111008E-03   -0.291348E-03    0.555200E-04    0.100821E+00    0.219979E-07    0.111137E-03
    0.179280E+04   -0.582009E-03    0.110546E-03   -0.291049E-03    0.552890E-04    0.100465E+00    0.219481E-07    0.110675E-03
    0.179392E+04   -0.581336E-03    0.110087E-03   -0.290692E-03    0.550593E-04    0.100110E+00    0.218897E-07    0.110215E-03
    0.179505E+04   -0.580631E-03    0.109680E-03   -0.290334E-03    0.548559E-04    0.998031E-01    0.218321E-07    0.109807E-03
    0.179619E+04   -0.579916E-03    0.109308E-03   -0.289977E-03    0.546697E-04    0.995272E-01    0.217751E-07    0.109435E-03
    0.179732E+04   -0.579174E-03    0.108936E-03   -0.289619E-03    0.544838E-04    0.992515E-01    0.217182E-07    0.109062E-03
    0.179846E+04   -0.578425E-03    0.108655E-03   -0.289261E-03    0.543433E-04    0.990584E-01    0.216626E-07    0.108781E-03
    0.179960E+04   -0.577691E-03    0.108379E-03   -0.288904E-03    0.542051E-04    0.988691E-01    0.216071E-07    0.108504E-03
    0.180075E+04   -0.576951E-03    0.108128E-03   -0.288546E-03    0.540794E-04    0.987025E-01    0.215521E-07    0.108252E-03
    0.180190E+04   -0.576227E-03    0.107933E-03   -0.288129E-03    0.539819E-04    0.985874E-01    0.214893E-07    0.108057E-03
    0.180305E+04   -0.575524E-03    0.107737E-03   -0.287831E-03    0.538842E-04    0.984718E-01    0.214437E-07    0.107862E-03
    0.180420E+04   -0.574835E-03    0.107570E-03   -0.287473E-03    0.538006E-04    0.983819E-01    0.213900E-07    0.107694E-03
    0.180535E+04   -0.574170E-03    0.107417E-03   -0.287116E-03    0.537239E-04    0.983045E-01    0.213365E-07    0.107540E-03
    0.180651E+04   -0.573523E-03    0.107263E-03   -0.286818E-03    0.536469E-04    0.982266E-01    0.212917E-07    0.107386E-03
    0.180767E+04   -0.572894E-03    0.107123E-03   -0.286520E-03    0.535770E-04    0.981616E-01    0.212471E-07    0.107246E-03
    0.180883E+04   -0.572288E-03    0.106983E-03   -0.286162E-03    0.535067E-04    0.980959E-01    0.211940E-07    0.107105E-03
    0.181000E+04   -0.571699E-03    0.106837E-03   -0.285923E-03    0.534338E-04    0.980254E-01    0.211579E-07    0.106959E-03
    0.181117E+04   -0.571124E-03    0.106683E-03   -0.285625E-03    0.533566E-04    0.979469E-01    0.211132E-07    0.106805E-03
    0.181234E+04   -0.570563E-03    0.106528E-03   -0.285327E-03    0.532790E-04    0.978678E-01    0.210686E-07    0.106649E-03
    0.181352E+04   -0.570012E-03    0.106354E-03   -0.285029E-03    0.531923E-04    0.977718E-01    0.210238E-07    0.106476E-03
    0.181469E+04   -0.569463E-03    0.106174E-03   -0.284791E-03    0.531019E-04    0.976690E-01    0.209874E-07    0.106295E-03
    0.181587E+04   -0.568922E-03    0.105991E-03   -0.284493E-03    0.530104E-04    0.975641E-01    0.209425E-07    0.106111E-03
    0.181705E+04   -0.568382E-03    0.105787E-03   -0.284255E-03    0.529085E-04    0.974399E-01    0.209059E-07    0.105907E-03
    0.181824E+04   -0.567839E-03    0.105583E-03   -0.283957E-03    0.528064E-04    0.973153E-01    0.208609E-07    0.105703E-03
    0.181943E+04   -0.567297E-03    0.105374E-03   -0.283718E-03    0.527017E-04    0.971858E-01    0.208243E-07    0.105493E-03
    0.182062E+04   -0.566753E-03    0.105157E-03   -0.283420E-03    0.525936E-04    0.970498E-01    0.207791E-07    0.105277E-03
    0.182181E+04   -0.566207E-03    0.104941E-03   -0.283122E-03    0.524852E-04    0.969134E-01    0.207341E-07    0.105060E-03
    0.182301E+04   -0.565660E-03    0.104723E-03   -0.282884E-03    0.523762E-04    0.967756E-01    0.206975E-07    0.104841E-03
    0.182421E+04   -0.565113E-03    0.104504E-03   -0.282586E-03    0.522666E-04    0.966366E-01    0.206524E-07    0.104622E-03
    0.182541E+04   -0.564567E-03    0.104285E-03   -0.282347E-03    0.521571E-04    0.964976E-01    0.206159E-07    0.104403E-03
    0.182661E+04   -0.564024E-03    0.104067E-03   -0.282049E-03    0.520482E-04    0.963596E-01    0.205710E-07    0.104184E-03
    0.182782E+04   -0.563484E-03    0.103849E-03   -0.281811E-03    0.519391E-04    0.962212E-01    0.205345E-07    0.103966E-03
    0.182903E+04   -0.562949E-03    0.103628E-03   -0.281513E-03    0.518288E-04    0.960803E-01    0.204897E-07    0.103745E-03
    0.183024E+04   -0.562420E-03    0.103405E-03   -0.281274E-03    0.517173E-04    0.959372E-01    0.204532E-07    0.103522E-03
    0.183146E+04   -0.561898E-03    0.103182E-03   -0.280976E-03    0.516056E-04    0.957937E-01    0.204084E-07    0.103298E-03
    0.183267E+04   -0.561383E-03    0.102944E-03   -0.280738E-03    0.514863E-04    0.956356E-01    0.203719E-07    0.103059E-03
    0.183389E+04   -0.560871E-03    0.102702E-03   -0.280499E-03    0.513654E-04    0.954746E-01    0.203353E-07    0.102817E-03
    0.183512E+04   -0.560367E-03    0.102454E-03   -0.280201E-03    0.512412E-04    0.953073E-01    0.202903E-07    0.102569E-03
    0.183634E+04   -0.559863E-03    0.102179E-03   -0.279963E-03    0.511037E-04    0.951151E-01    0.202534E-07    0.102293E-03
    0.183757E+04   -0.559358E-03    0.101904E-03   -0.279725E-03    0.509664E-04    0.949229E-01    0.202165E-07    0.102018E-03
    0.183880E+04   -0.558854E-03    0.101608E-03   -0.279486E-03    0.508183E-04    0.947106E-01    0.201794E-07    0.101722E-03
    0.184004E+04   -0.558340E-03    0.101295E-03   -0.279188E-03    0.506618E-04    0.944822E-01    0.201338E-07    0.101408E-03
    0.184127E+04   -0.557822E-03    0.100983E-03   -0.278950E-03    0.505055E-04    0.942541E-01    0.200965E-07    0.101096E-03
    0.184251E+04   -0.557295E-03    0.100639E-03   -0.278711E-03    0.503337E-04    0.939967E-01    0.200590E-07    0.100752E-03
    0.184375E+04   -0.556750E-03    0.100293E-03   -0.278413E-03    0.501606E-04    0.937366E-01    0.200131E-07    0.100405E-03
    0.184500E+04   -0.556194E-03    0.999425E-04   -0.278115E-03    0.499852E-04    0.934718E-01    0.199672E-07    0.100054E-03
    0.184625E+04   -0.555622E-03    0.995775E-04   -0.277877E-03    0.498026E-04    0.931934E-01    0.199295E-07    0.996882E-04
    0.184750E+04   -0.555031E-03    0.992135E-04   -0.277579E-03    0.496205E-04    0.929156E-01    0.198836E-07    0.993237E-04
    0.184875E+04   -0.554424E-03    0.988504E-04   -0.277281E-03    0.494389E-04    0.926383E-01    0.198377E-07    0.989601E-04
    0.185001E+04   -0.553802E-03    0.984879E-04   -0.276923E-03    0.492576E-04    0.923612E-01    0.197837E-07    0.985970E-04
    0.185127E+04   -0.553161E-03    0.981262E-04   -0.276625E-03    0.490767E-04    0.920847E-01    0.197380E-07    0.982349E-04
    0.185253E+04   -0.552506E-03    0.977824E-04   -0.276327E-03    0.489047E-04    0.918245E-01    0.196925E-07    0.978906E-04
    0.185379E+04   -0.551842E-03    0.974402E-04   -0.275970E-03    0.487335E-04    0.915655E-01    0.196390E-07    0.975478E-04
    0.185506E+04   -0.551163E-03    0.971082E-04   -0.275612E-03    0.485675E-04    0.913159E-01    0.195856E-07    0.972154E-04
    0.185633E+04   -0.550480E-03    0.967981E-04   -0.275314E-03    0.484124E-04    0.910865E-01    0.195407E-07    0.969047E-04
    0.185760E+04   -0.549792E-03    0.964890E-04   -0.274956E-03    0.482578E-04    0.908578E-01    0.194878E-07    0.965952E-04
    0.185887E+04   -0.549100E-03    0.961996E-04   -0.274599E-03    0.481130E-04    0.906475E-01    0.194352E-07    0.963053E-04
    0.186015E+04   -0.548410E-03    0.959199E-04   -0.274241E-03    0.479731E-04    0.904460E-01    0.193827E-07    0.960252E-04
    0.186143E+04   -0.547719E-03    0.956417E-04   -0.273883E-03    0.478339E-04    0.902457E-01    0.193303E-07    0.957465E-04
    0.186271E+04   -0.547029E-03    0.953824E-04   -0.273585E-03    0.477042E-04    0.900631E-01    0.192864E-07    0.954868E-04
    0.186400E+04   -0.546343E-03    0.951232E-04   -0.273228E-03    0.475746E-04    0.898803E-01    0.192344E-07    0.952273E-04
    0.186529E+04   -0.545652E-03    0.948670E-04   -0.272870E-03    0.474465E-04    0.897002E-01    0.191825E-07    0.949707E-04
    0.186658E+04   -0.544975E-03    0.946482E-04   -0.272512E-03    0.473370E-04    0.895552E-01    0.191312E-07    0.947515E-04
    0.186787E+04   -0.544315E-03    0.944005E-04   -0.272214E-03    0.472131E-04    0.893827E-01    0.190876E-07    0.945033E-04
    0.186917E+04   -0.543651E-03    0.941528E-04   -0.271857E-03    0.470892E-04    0.892101E-01    0.190360E-07    0.942553E-04
    0.187047E+04   -0.542986E-03    0.939053E-04   -0.271559E-03    0.469654E-04    0.890374E-01    0.189926E-07    0.940074E-04
    0.187177E+04   -0.542323E-03    0.936575E-04   -0.271201E-03    0.468415E-04    0.888642E-01    0.189412E-07    0.937592E-04
    0.187308E+04   -0.541657E-03    0.934051E-04   -0.270844E-03    0.467152E-04    0.886865E-01    0.188897E-07    0.935064E-04
    0.187438E+04   -0.540987E-03    0.931530E-04   -0.270545E-03    0.465891E-04    0.885088E-01    0.188464E-07    0.932539E-04
    0.187569E+04   -0.540314E-03    0.929014E-04   -0.270188E-03    0.464632E-04    0.883314E-01    0.187952E-07    0.930018E-04
    0.187701E+04   -0.539636E-03    0.926503E-04   -0.269890E-03    0.463377E-04    0.881543E-01    0.187520E-07    0.927504E-04
    0.187832E+04   -0.538951E-03    0.923995E-04   -0.269532E-03    0.462122E-04    0.879773E-01    0.187008E-07    0.924992E-04
    0.187964E+04   -0.538261E-03    0.921587E-04   -0.269175E-03    0.460918E-04    0.878096E-01    0.186499E-07    0.922580E-04
    0.188096E+04   -0.537568E-03    0.919204E-04   -0.268817E-03    0.459726E-04    0.876441E-01    0.185990E-07    0.920194E-04
    0.188229E+04   -0.536868E-03    0.916859E-04   -0.268459E-03    0.458553E-04    0.874820E-01    0.185483E-07    0.917845E-04
    0.188361E+04   -0.536166E-03    0.914711E-04   -0.268102E-03    0.457478E-04    0.873384E-01    0.184978E-07    0.915692E-04
    0.188494E+04   -0.535465E-03    0.912561E-04   -0.267804E-03    0.456403E-04    0.871947E-01    0.184554E-07    0.913539E-04
    0.188628E+04   -0.534762E-03    0.910558E-04   -0.267446E-03    0.455401E-04    0.870647E-01    0.184052E-07    0.911533E-04
    0.188761E+04   -0.534065E-03    0.908692E-04   -0.267088E-03    0.454467E-04    0.869478E-01    0.183553E-07    0.909663E-04
    0.188895E+04   -0.533371E-03    0.906823E-04   -0.266731E-03    0.453532E-04    0.868303E-01    0.183054E-07    0.907791E-04
    0.189029E+04   -0.532683E-03    0.905168E-04   -0.266373E-03    0.452705E-04    0.867334E-01    0.182559E-07    0.906133E-04
    0.189163E+04   -0.532008E-03    0.903541E-04   -0.266075E-03    0.451891E-04    0.866390E-01    0.182144E-07    0.904503E-04
    0.189298E+04   -0.531341E-03    0.901938E-04   -0.265718E-03    0.451089E-04    0.865467E-01    0.181650E-07    0.902897E-04
    0.189432E+04   -0.530685E-03    0.900430E-04   -0.265360E-03    0.450334E-04    0.864635E-01    0.181158E-07    0.901386E-04
    0.189568E+04   -0.530043E-03    0.898916E-04   -0.265062E-03    0.449577E-04    0.863797E-01    0.180745E-07    0.899869E-04
    0.189703E+04   -0.529412E-03    0.897373E-04   -0.264764E-03    0.448805E-04    0.862930E-01    0.180333E-07    0.898324E-04
    0.189839E+04   -0.528791E-03    0.895809E-04   -0.264466E-03    0.448023E-04    0.862041E-01    0.179921E-07    0.896757E-04
    0.189975E+04   -0.528184E-03    0.894238E-04   -0.264108E-03    0.447237E-04    0.861145E-01    0.179431E-07    0.895183E-04
    0.190111E+04   -0.527585E-03    0.892482E-04   -0.263810E-03    0.446359E-04    0.860070E-01    0.179018E-07    0.893424E-04
    0.190247E+04   -0.526990E-03    0.890707E-04   -0.263512E-03    0.445471E-04    0.858976E-01    0.178605E-07    0.891647E-04
    0.190384E+04   -0.526402E-03    0.888864E-04   -0.263274E-03    0.444549E-04    0.857814E-01    0.178270E-07    0.889800E-04
    0.190521E+04   -0.525817E-03    0.886855E-04   -0.262976E-03    0.443544E-04    0.856491E-01    0.177856E-07    0.887788E-04
    0.190658E+04   -0.525234E-03    0.884843E-04   -0.262678E-03    0.442538E-04    0.855164E-01    0.177441E-07    0.885774E-04
    0.190796E+04   -0.524654E-03    0.882644E-04   -0.262380E-03    0.441438E-04    0.853653E-01    0.177026E-07    0.883571E-04
    0.190934E+04   -0.524068E-03    0.880339E-04   -0.262082E-03    0.440285E-04    0.852039E-01    0.176610E-07    0.881262E-04
    0.191072E+04   -0.523480E-03    0.878034E-04   -0.261784E-03    0.439132E-04    0.850423E-01    0.176194E-07    0.878954E-04
    0.191210E+04   -0.522887E-03    0.875513E-04   -0.261486E-03    0.437871E-04    0.848595E-01    0.175776E-07    0.876429E-04
    0.191349E+04   -0.522283E-03    0.872993E-04   -0.261188E-03    0.436610E-04    0.846765E-01    0.175359E-07    0.873906E-04
    0.191488E+04   -0.521672E-03    0.870441E-04   -0.260890E-03    0.435334E-04    0.844903E-01    0.174942E-07    0.871350E-04
    0.191627E+04   -0.521051E-03    0.867827E-04   -0.260592E-03    0.434027E-04    0.842978E-01    0.174525E-07    0.868732E-04
    0.191766E+04   -0.520419E-03    0.865253E-04   -0.260234E-03    0.432739E-04    0.841089E-01    0.174031E-07    0.866154E-04
    0.191906E+04   -0.519782E-03    0.862757E-04   -0.259936E-03    0.431491E-04    0.839274E-01    0.173616E-07    0.863655E-04
    0.192046E+04   -0.519142E-03    0.860271E-04   -0.259638E-03    0.430247E-04    0.837465E-01    0.173202E-07    0.861165E-04
    0.192186E+04   -0.518498E-03    0.857793E-04   -0.259280E-03    0.429008E-04    0.835662E-01    0.172712E-07    0.858683E-04
    0.192327E+04   -0.517851E-03    0.855395E-04   -0.258982E-03    0.427808E-04    0.833935E-01    0.172300E-07    0.856281E-04
    0.192468E+04   -0.517204E-03    0.853000E-04   -0.258625E-03    0.426610E-04    0.832210E-01    0.171811E-07    0.853883E-04
    0.192609E+04   -0.516555E-03    0.850643E-04   -0.258327E-03    0.425432E-04    0.830518E-01    0.171401E-07    0.851523E-04
    0.192750E+04   -0.515906E-03    0.848339E-04   -0.257969E-03    0.424279E-04    0.828876E-01    0.170914E-07    0.849214E-04
    0.192892E+04   -0.515259E-03    0.846037E-04   -0.257671E-03    0.423127E-04    0.827234E-01    0.170506E-07    0.846909E-04
    0.193034E+04   -0.514613E-03    0.843763E-04   -0.257373E-03    0.421990E-04    0.825617E-01    0.170098E-07    0.844632E-04
    0.193176E+04   -0.513969E-03    0.841499E-04   -0.257015E-03    0.420858E-04    0.824008E-01    0.169614E-07    0.842364E-04
    0.193318E+04   -0.513328E-03    0.839233E-04   -0.256717E-03    0.419724E-04    0.822395E-01    0.169207E-07    0.840095E-04
    0.193461E+04   -0.512688E-03    0.836938E-04   -0.256360E-03    0.418576E-04    0.820751E-01    0.168724E-07    0.837797E-04
    0.193604E+04   -0.512049E-03    0.834646E-04   -0.256062E-03    0.417430E-04    0.819108E-01    0.168318E-07    0.835501E-04
    0.193747E+04   -0.511410E-03    0.832316E-04   -0.255764E-03    0.416265E-04    0.817426E-01    0.167912E-07    0.833168E-04
    0.193891E+04   -0.510770E-03    0.829944E-04   -0.255406E-03    0.415078E-04    0.815700E-01    0.167430E-07    0.830792E-04
    0.194035E+04   -0.510128E-03    0.827576E-04   -0.255108E-03    0.413893E-04    0.813975E-01    0.167025E-07    0.828421E-04
    0.194179E+04   -0.509485E-03    0.825155E-04   -0.254810E-03    0.412682E-04    0.812197E-01    0.166620E-07    0.825996E-04
    0.194323E+04   -0.508837E-03    0.822726E-04   -0.254452E-03    0.411468E-04    0.810408E-01    0.166140E-07    0.823564E-04
    0.194468E+04   -0.508186E-03    0.820295E-04   -0.254154E-03    0.410252E-04    0.808614E-01    0.165736E-07    0.821129E-04
    0.194613E+04   -0.507531E-03    0.817833E-04   -0.253797E-03    0.409021E-04    0.806788E-01    0.165256E-07    0.818664E-04
    0.194758E+04   -0.506869E-03    0.815377E-04   -0.253499E-03    0.407792E-04    0.804965E-01    0.164853E-07    0.816204E-04
    0.194903E+04   -0.506203E-03    0.812949E-04   -0.253141E-03    0.406578E-04    0.803167E-01    0.164375E-07    0.813773E-04
    0.195049E+04   -0.505532E-03    0.810547E-04   -0.252783E-03    0.405376E-04    0.801392E-01    0.163898E-07    0.811367E-04
    0.195195E+04   -0.504855E-03    0.808148E-04   -0.252485E-03    0.404176E-04    0.799619E-01    0.163497E-07    0.808965E-04
    0.195341E+04   -0.504174E-03    0.805869E-04   -0.252128E-03    0.403036E-04    0.797960E-01    0.163023E-07    0.806682E-04
    0.195488E+04   -0.503492E-03    0.803607E-04   -0.251770E-03    0.401905E-04    0.796317E-01    0.162549E-07    0.804417E-04
    0.195635E+04   -0.502806E-03    0.801390E-04   -0.251472E-03    0.400796E-04    0.794717E-01    0.162152E-07    0.802197E-04
    0.195782E+04   -0.502120E-03    0.799311E-04   -0.251114E-03    0.399756E-04    0.793251E-01    0.161682E-07    0.800114E-04
    0.195929E+04   -0.501437E-03    0.797233E-04   -0.250757E-03    0.398716E-04    0.791783E-01    0.161212E-07    0.798033E-04
    0.196077E+04   -0.500754E-03    0.795256E-04   -0.250399E-03    0.397728E-04    0.790415E-01    0.160744E-07    0.796053E-04
    0.196225E+04   -0.500077E-03    0.793347E-04   -0.250101E-03    0.396773E-04    0.789112E-01    0.160352E-07    0.794141E-04
    0.196373E+04   -0.499403E-03    0.791437E-04   -0.249743E-03    0.395818E-04    0.787807E-01    0.159886E-07    0.792229E-04
    0.196521E+04   -0.498735E-03    0.789629E-04   -0.249386E-03    0.394913E-04    0.786600E-01    0.159422E-07    0.790417E-04
    0.196670E+04   -0.498074E-03    0.787823E-04   -0.249088E-03    0.394010E-04    0.785395E-01    0.159033E-07    0.788608E-04
