# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.640004E+01   -0.550480E+00    0.159077E+01    0.253254E-01    0.775740E+00    0.503202E+01    0.128072E+00    0.582141E+00
    0.651569E+01   -0.491795E+00    0.144867E+01    0.107989E-01    0.716596E+00    0.473236E+01    0.112716E+00    0.614647E+00
    0.663406E+01   -0.418279E+00    0.132434E+01    0.702274E-02    0.657551E+00    0.442133E+01    0.969447E-01    0.632967E+00
    0.675515E+01   -0.346057E+00    0.124831E+01    0.156686E-01    0.614524E+00    0.420743E+01    0.850986E-01    0.628582E+00
    0.687896E+01   -0.285972E+00    0.117767E+01    0.225577E-01    0.575844E+00    0.401487E+01    0.750973E-01    0.620891E+00
    0.700550E+01   -0.219956E+00    0.110996E+01    0.336064E-01    0.536934E+00    0.381244E+01    0.654243E-01    0.603082E+00
    0.713475E+01   -0.157123E+00    0.108557E+01    0.529122E-01    0.515507E+00    0.372784E+01    0.599410E-01    0.574710E+00
    0.726673E+01   -0.116452E+00    0.107498E+01    0.665447E-01    0.503954E+00    0.371170E+01    0.571099E-01    0.555190E+00
    0.740142E+01   -0.931509E-01    0.106433E+01    0.735741E-01    0.495693E+00    0.371853E+01    0.552479E-01    0.544366E+00
    0.753884E+01   -0.806938E-01    0.105452E+01    0.766349E-01    0.489731E+00    0.374201E+01    0.539754E-01    0.538807E+00
    0.767898E+01   -0.805493E-01    0.105042E+01    0.759733E-01    0.488127E+00    0.379909E+01    0.536595E-01    0.539016E+00
    0.782184E+01   -0.975675E-01    0.104604E+01    0.686324E-01    0.489431E+00    0.388011E+01    0.540528E-01    0.548071E+00
    0.796742E+01   -0.138700E+00    0.103784E+01    0.511853E-01    0.493650E+00    0.398639E+01    0.553375E-01    0.570571E+00
    0.811572E+01   -0.180065E+00    0.973887E+00    0.229911E-01    0.476000E+00    0.391541E+01    0.525818E-01    0.600887E+00
    0.826674E+01   -0.201812E+00    0.913207E+00    0.276041E-02    0.455347E+00    0.381522E+01    0.491534E-01    0.620785E+00
    0.842049E+01   -0.220234E+00    0.855810E+00   -0.157381E-01    0.434747E+00    0.371037E+01    0.458650E-01    0.638451E+00
    0.857695E+01   -0.232213E+00    0.780739E+00   -0.349096E-01    0.404490E+00    0.351629E+01    0.409498E-01    0.651131E+00
    0.873614E+01   -0.231188E+00    0.707036E+00   -0.478161E-01    0.371271E+00    0.328741E+01    0.354857E-01    0.648079E+00
    0.889805E+01   -0.223604E+00    0.637042E+00   -0.564182E-01    0.337566E+00    0.304436E+01    0.301002E-01    0.631602E+00
    0.906268E+01   -0.206863E+00    0.558174E+00   -0.611190E-01    0.297255E+00    0.273042E+01    0.239359E-01    0.593408E+00
    0.923002E+01   -0.172239E+00    0.478643E+00   -0.555571E-01    0.253400E+00    0.237057E+01    0.175024E-01    0.523515E+00
    0.940010E+01   -0.111126E+00    0.403208E+00   -0.343595E-01    0.208777E+00    0.198911E+01    0.114576E-01    0.423238E+00
    0.957289E+01   -0.401089E-01    0.379558E+00   -0.197697E-02    0.190155E+00    0.184499E+01    0.897727E-02    0.356240E+00
    0.974840E+01    0.727921E-02    0.387647E+00    0.214146E-01    0.189760E+00    0.187491E+01    0.884672E-02    0.332778E+00
    0.992664E+01    0.235508E-01    0.395277E+00    0.297511E-01    0.191928E+00    0.193101E+01    0.907483E-02    0.328330E+00
    0.101076E+02    0.235045E-01    0.380234E+00    0.284346E-01    0.184861E+00    0.189381E+01    0.843198E-02    0.318951E+00
    0.102913E+02    0.256797E-01    0.347222E+00    0.267761E-01    0.169084E+00    0.176366E+01    0.708495E-02    0.296118E+00
    0.104777E+02    0.310603E-01    0.315828E+00    0.269877E-01    0.153764E+00    0.163291E+01    0.589784E-02    0.271602E+00
    0.106668E+02    0.382408E-01    0.272419E+00    0.275277E-01    0.132561E+00    0.143315E+01    0.443995E-02    0.236443E+00
    0.108586E+02    0.570874E-01    0.218040E+00    0.335443E-01    0.105482E+00    0.116090E+01    0.295475E-02    0.187163E+00
    0.110532E+02    0.918450E-01    0.166545E+00    0.479311E-01    0.794636E-01    0.890224E+00    0.205028E-02    0.136527E+00
    0.112505E+02    0.136299E+00    0.128375E+00    0.676674E-01    0.601195E-01    0.685534E+00    0.191481E-02    0.981720E-01
    0.114505E+02    0.181163E+00    0.102838E+00    0.878404E-01    0.472671E-01    0.548562E+00    0.228145E-02    0.731569E-01
    0.116532E+02    0.225623E+00    0.786499E-01    0.107648E+00    0.355031E-01    0.419329E+00    0.289157E-02    0.521434E-01
    0.118586E+02    0.271000E+00    0.625838E-01    0.127728E+00    0.277477E-01    0.333508E+00    0.377305E-02    0.386473E-01
