#ENERGY  EPSILON1  EPSILON2     N       K     ABSCOEFF REFLECT ENERGYLOSS N-EFF
#2.00E-03          6.13E+05          5.11E+02 8.99E+04 .99582   2.40E-06   0.004
1.00E+03  0.999    1.70E-03 0.999    8.51E-04 8.60E+04 .00     1.71E-03  19.840
1.10E+03  0.999    1.65E-03 0.999    8.23E-04 9.17E+04 .000    1.65E-03  20.662
1.20E+03  0.999    1.25E-03 0.999    6.24E-04 7.55E+04 .000    1.25E-03  21.473 
1.50E+03  1.000    5.45E-04 1.000    2.73E-04 4.14E+04 .0000   5.46E-04  23.080
2.00E+03  1.000    1.90E-04 1.000    9.49E-05 1.90E+04 .00     1.90E-04  24.379
4.00E+03  1.000    1.32E-05 1.000    6.62E-06 2.68E+03 .00     1.33E-05  25.881
8.00E+03  1.001    1.08E-06 1.001    5.38E-07 4.37E+02 .000    1.07E-06  26.321
8.90E+03  1.001    7.12E-07 1.001    3.56E-07 3.21E+02 .000    7.10E-07  26.355 
9.00E+03  1.002    7.30E-07 1.001    3.65E-07 3.34E+02 .0000   7.28E-07  26.359
1.50E+04  1.001    8.12E-07 1.000    4.06E-07 6.13E+02 .00     8.12E-07  27.078
3.00E+04  1.001    6.19E-08 1.000    3.09E-08 9.37E+01 .00     6.18E-08  27.419
5.00E+04  1.000    8.89E-09 1.000    4.45E-09 2.23E+01 .000    8.89E-09  27.505

